id_corretor,sk_house,id_visita,dt_visita,hr_visita,price,predicted_price_70,partner_3p_supply,house_address,house_zipcode,house_neighborhood,house_city,house_lat,house_lng,floor,house_bathrooms,house_bedrooms,house_suites,house_garages,house_type,house_total_area,sk_condo,name,days_published,os,vb,last_price_down,previous_price_variation,date,monday_status,sale_price_agreed
28910,893294537,32059763,2025-06-05,17:00,675000,569952,,Rua Santo Antônio,01314-000,Bela Vista,São Paulo,-23.5515028,-46.6452287,680000,1,1,0,1,StudioOuKitchenette,50,111843,893294537-719.728544818016IMG9827.jpg,1522,0,7,2025-05-27,-0.0357,,,
28910,894850689,31998105,2025-06-03,14:30,680000,568782,,Rua Santo Antônio,01314-000,Bela Vista,São Paulo,-23.5516462,-46.6453984,720000,1,1,1,1,StudioOuKitchenette,50,67144,894850689-975.1175732196268IMG0207.jpg,76,0,2,2025-04-28,-0.0216,,,
28910,894352926,32201460,2025-06-17,16:30,380000,376837,,Rua Pedro Malaquias,03447-060,Vila Carrão,São Paulo,-23.553399,-46.5245482,400000,1,2,0,1,Apartamento,69,10384,894352926-348.2026290401281DSC4104.jpg,512,0,14,2025-05-01,-0.0526,,,
28910,894616471,32014692,2025-06-03,14:00,590000,573119,,Rua Major Quedinho,01050-030,Centro,São Paulo,-23.5487563,-46.6453498,590000,2,1,1,1,Apartamento,47,255391,894616471-485.99576346274733site0049.jpg,275,9,27,,,2025-03-31,Canceladas em negociação,530000
28910,894616471,32059433,2025-06-05,17:30,590000,573119,,Rua Major Quedinho,01050-030,Centro,São Paulo,-23.5487563,-46.6453498,590000,2,1,1,1,Apartamento,47,255391,894616471-485.99576346274733site0049.jpg,275,9,27,,,2025-03-31,Canceladas em negociação,530000
28910,894612594,32014217,2025-06-03,16:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28910,894085999,32201496,2025-06-17,17:00,300000,295726,,Rua Engenheiro Guilherme Cristiano Frender,03477-000,Vila Antonieta,São Paulo,-23.5642602,-46.515303,350000,1,2,0,1,Apartamento,55,37299,894085999-430.832041332946220230527135428.jpg,747,0,0,2025-06-05,-0.1429,,,
12774,894599235,32179310,2025-06-14,17:00,340000,376708,,Rua Ausonia,02308-050,Vila Mazzei,São Paulo,-23.477226,-46.6056748,430000,1,2,0,1,Apartamento,76,,894599235-471.708408528284DSC9438.JPG,294,0,9,2025-05-22,-0.0145,,,
12774,893749780,32069304,2025-06-05,13:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12774,894435199,32051287,2025-06-07,18:45,1100000,1024830,,Rua Conde Prates,03122-000,Parque da Mooca,São Paulo,-23.5670863,-46.5968597,1495000,4,4,1,4,Casa,220,479085,894435199-815.9141234617291untitled1of69.jpg,445,0,2,2025-02-05,-0.0229,,,
12774,894920151,32051270,2025-06-07,18:00,1300000,1296475,,Rua Dias Leme,03118-040,Mooca,São Paulo,-23.561591,-46.5939906,1300000,4,3,1,5,Casa,278,,894920151-216.07535127954148IMG3209.jpg,22,0,2,,,,,
12774,893114936,32178393,2025-06-14,14:15,245000,286559,,Rua Dom Bosco,03105-020,Mooca,São Paulo,-23.5555761,-46.6153301,380000,1,2,0,0,Apartamento,75,74673,893114936-41.651304220286625andar105.jpg,1779,4,84,2024-07-12,-0.0392,2025-03-26,Canceladas pós Aceite,240000
12774,894776535,32205590,2025-06-14,13:45,530000,589440,,Rua Cerro Corá,05061-100,Vila Madalena,São Paulo,-23.5394469,-46.7053827,700000,1,2,0,1,Apartamento,74,,894776535-913.90114245843221000273192.jpg,121,0,17,2025-05-27,-0.1846,,,
12774,894928777,32157264,2025-06-15,13:00,435000,473751,,Rua Epaminondas Melo do Amaral,02542-000,Sítio do Mandaqui,São Paulo,-23.4885655,-46.6588366,435000,2,3,1,2,Apartamento,72,,894928777-109.28611098478191IMG00013.jpg,13,0,3,,,,,
12774,893006885,32129732,2025-06-09,19:30,550000,442233,,Rua Eugênio Lorenzetti,05144-000,Jardim Íris,São Paulo,-23.4997277,-46.7224035,550000,1,3,0,1,Apartamento,75,6675,893006885-821.2399376683754DSC2180.jpg,60,0,1,,,,,
12774,893766163,32179346,2025-06-13,16:00,380000,450653,,Rua Matarazzo,01128-140,Bom Retiro,São Paulo,-23.5241172,-46.6393358,500000,1,2,0,1,Apartamento,100,16522,893766163-281.40054012535944IMG0679.jpg,1002,0,30,2024-02-03,-0.0843,,,
12774,894892860,32003993,2025-06-03,14:00,265000,245345,,Rua Cândido Vale,03068-010,Tatuapé,São Paulo,-23.5352936,-46.569058,265000,1,2,0,0,Apartamento,55,259161,894892860-932.6641177721252IMG5271.jpg,43,1,8,,,2025-06-02,Canceladas em negociação,243500
12774,894310532,32040258,2025-06-06,18:15,610000,669593,,Rua Marco Bertuolo,04165-030,Vila das Mercês,São Paulo,-23.620155,-46.6086439,680000,1,3,0,2,Casa,160,,894310532-203.56159973735677QuintoAndar1.jpg,569,1,23,2025-05-08,-0.0209,2024-06-03,Canceladas em negociação,580000
12774,894062356,32141156,2025-06-12,13:45,650000,557145,,Rua Treze de Maio,01327-001,Bela Vista,São Paulo,-23.5700006,-46.6437621,650000,1,2,0,0,Apartamento,75,301422,894062356-691.7723947461837IMG6413.jpg,10,0,1,,,,,
12774,894692920,32128204,2025-06-09,18:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12774,894884046,32051302,2025-06-07,19:15,1250000,1199276,TorresEPicolomini,Rua Professor Oliveira Fausto,03184-050,Alto da Mooca,São Paulo,-23.5667196,-46.5859711,1350000,5,4,2,4,Casa,347,,894884046-931.5315127140237a2f39a72-4104-4ea2-8514-90269ae408d0-LEAD3P-c2bde637-496e-44ee-91b9-acf956879489.jpg,52,0,1,2025-05-29,-0.0741,,,
17019,894881731,32093941,2025-06-07,12:00,415000,385337,DG7,Rua Trajano Reis,05541-030,Jardim das Vertentes,São Paulo,-23.5874757,-46.7396512,430000,1,2,0,1,Apartamento,50,,894881731-521.9075302714072893da989-7448-4400-a219-084c9868567f-LEAD3P-b84c56cf-4cb0-4cd2-bed1-437afdd5c380.,57,0,17,2025-05-20,-0.0349,,,
17019,894602225,32093922,2025-06-07,12:30,425000,423846,DG7,Rua Trajano Reis,05541-030,Jardim das Vertentes,São Paulo,-23.5874758,-46.7396513,440000,1,3,0,1,Apartamento,60,150776,894602225-815.4223364340464IMG9373.jpg,291,1,23,2025-04-11,-0.0455,2025-05-16,Canceladas em negociação,417000
17019,894913921,32093907,2025-06-07,11:30,468000,434849,Lares,Rua Eugene Carriere,05541-100,Jardim das Vertentes,São Paulo,-23.5860335,-46.7401935,468000,2,3,1,1,Apartamento,64,,894913921-393.1108692090244f4c8fc76-39f0-4ae7-b823-0c4dc94580af-LEAD3P-3f900781-bc9d-47b3-9349-7324753090f0.jpeg,25,0,5,2025-05-21,-0.0385,,,
17019,892834924,32100281,2025-06-07,13:00,435000,417904,,Rua Eugene Carriere,05541-100,Jardim das Vertentes,São Paulo,-23.5859942,-46.7401001,360000,2,3,1,1,Apartamento,63,16415,892834924-724.451552317072115.jpg,1702,0,23,2025-06-06,-0.0225,,,
22555,893123251,32104266,2025-06-09,12:00,550000,544914,,Rua Antônio Júlio dos Santos,05661-020,Fazenda Morumbi,São Paulo,-23.6083636,-46.7269383,600000,4,3,3,2,Apartamento,110,5096,893123251-45.982259512093WhatsAppImage20200819at20.34.08.jpeg,1758,0,17,2024-08-26,-0.0351,,,
22555,893117220,32041355,2025-06-05,18:00,460000,474421,,Rua Antônio Júlio dos Santos,05661-020,Fazenda Morumbi,São Paulo,-23.6084046,-46.726592,505000,3,3,1,2,Apartamento,95,33999,893117220-11.509886830254334WhatsAppImage20200812at11.45.51.jpeg,778,1,9,2024-10-11,-0.1786,2024-12-27,Canceladas pós Aceite,460000
22555,893189781,32135070,2025-06-14,13:00,315000,335806,,Rua Pascoal Ranieri Mazzilli,03254-040,Vila Mendes,São Paulo,-23.6063743,-46.5259299,310000,2,2,1,1,Apartamento,56,151284,893189781-669.2281593197779IMG5629.jpg,1620,0,10,2025-05-30,-0.0455,,,
22555,894341526,32104492,2025-06-09,13:00,500000,477255,,Rua Antônio Júlio dos Santos,05661-020,Fazenda Morumbi,São Paulo,-23.6084153,-46.7266203,639000,2,3,1,2,Apartamento,95,,894341526-781.3092844187538MG2678HDR.jpg,546,0,10,2025-01-17,-0.0909,,,
22555,894341526,32060524,2025-06-05,15:30,500000,477255,,Rua Antônio Júlio dos Santos,05661-020,Fazenda Morumbi,São Paulo,-23.6084153,-46.7266203,639000,2,3,1,2,Apartamento,95,,894341526-781.3092844187538MG2678HDR.jpg,546,0,10,2025-01-17,-0.0909,,,
22555,894726703,32135284,2025-06-14,14:00,349000,349588,,Rua Pascoal Ranieri Mazzilli,03257-180,Vila Mendes,São Paulo,-23.606587,-46.5251211,350000,2,3,1,1,Apartamento,57,,894726703-201.8353584257625IMG8376.jpg,158,0,22,2025-05-05,-0.0029,,,
22555,894796649,32127148,2025-06-08,11:00,573000,541487,,Rua Tobias Barreto,03176-001,Alto da Mooca,São Paulo,-23.5469002,-46.5854248,630000,2,3,0,1,Apartamento,93,20593,894796649-260.3238144292218IMG9393.jpg,107,0,5,2025-02-26,-0.1508,,,
